,county_fips,period_end,property_type,property_type_id,median_sale_price_yoy,median_list_price_yoy,median_ppsf_yoy,median_list_ppsf_yoy,homes_sold_yoy,new_listings_yoy,inventory_yoy,months_of_supply_yoy,median_dom_yoy,avg_sale_to_list_yoy,sold_above_list_yoy,date,year,month
1178,18047,2017-12-31,All Residential,-1,0.172620670848105,1.94903339191564,-0.267806352606408,0.635372744539411,-0.125,-0.75,-0.34375,-1.0,-132.0,0.005299947366374,0.0,2017-12-31,2017,12
1187,37171,2018-12-31,All Residential,-1,-0.180212014134276,0.0219138056975893,0.286359480427282,-0.0224656312435717,0.0,0.121212121212121,-0.186440677966102,-1.2,21.0,-0.0117125338295163,-0.102564102564103,2018-12-31,2018,12
1194,26049,2012-12-31,All Residential,-1,-0.0010010010010009,0.283422459893048,-0.0126894510373556,0.197417898846697,-0.0352941176470588,-0.356589147286822,-0.141991341991342,-0.600000000000001,-12.0,0.0037538723108757,-0.0144619799139167,2012-12-31,2012,12
1205,21097,2013-12-31,All Residential,-1,-0.285714285714286,-0.161394448030988,-0.196679609050743,-0.266937105761097,0.0,-0.666666666666667,0.208955223880597,1.6,46.0,-0.0305393637154323,-0.222222222222222,2013-12-31,2013,12
1215,44009,2013-12-31,All Residential,-1,0.087719298245614,0.294926759556985,0.0154719495163382,0.012366726584426,-0.0620155038759689,0.0823529411764705,0.103184713375796,1.1,-15.0,0.0023180203491971,-0.0046767890319687,2013-12-31,2013,12
1218,19077,2012-12-31,All Residential,-1,1.16571428571429,-0.206417112299465,1.06616788532123,-0.109427297642707,0.0,-0.25,0.160919540229885,1.3,52.0,0.0412380625200743,-0.181818181818182,2012-12-31,2012,12
1230,27061,2017-12-31,All Residential,-1,-0.06,-0.0211267605633802,0.0213546321120048,-0.198530823181986,0.457142857142857,-0.315789473684211,0.0396825396825397,-2.1,-51.0,-0.0198147616759692,-0.0627450980392156,2017-12-31,2017,12
1241,51199,2019-12-31,All Residential,-1,0.036689826640782,0.0896748838871024,0.0227719111391222,0.0666318312412912,0.589041095890411,0.0357142857142858,0.0413793103448276,-1.4,-46.0,0.0063891994541127,0.0632971185640056,2019-12-31,2019,12
1259,48121,2019-12-31,All Residential,-1,0.0430511365500048,-0.002772741481713,0.0251826750448835,0.014596722768208,0.272727272727273,0.068922305764411,-0.0807614652437265,-0.9,3.0,0.0028491409197873,0.0166601075691984,2019-12-31,2019,12
1267,39151,2017-12-31,All Residential,-1,-0.008,0.220977596741344,0.0337761192475258,0.170876285077626,-0.155388471177945,0.0434782608695651,-0.0948970456580124,0.2,-3.0,0.0038077458419742,0.0155358723217539,2017-12-31,2017,12
