,home_value_median,median_ppsf,median_list_price,median_list_ppsf,median_sale_price
1014,1014000.0,608.488228004957,1010000.0,573.396013523518,1100000.0
1015,1071200.0,595.59135226791,799000.0,583.929766632457,1135000.0
1016,1078800.0,606.68592653735,1015000.0,588.495575221239,1310000.0
1023,173000.0,117.445646548624,199700.0,123.391812865497,215000.0
1024,210100.0,128.103054951222,221250.0,131.38250285844,245500.0
1025,231300.0,143.606327984651,245000.0,148.906819770306,247000.0
1026,253700.0,155.650459921156,265000.0,162.083389830508,282000.0
1027,261100.0,170.20189477557,289900.0,172.942459670849,285000.0
1028,282900.0,163.650865714712,289990.0,180.208333333333,320000.0
1033,391200.0,274.878218510786,415000.0,280.048810250153,480000.0
1034,429100.0,309.782608695652,435000.0,302.29650588932,480000.0
1035,481000.0,327.635327635328,510000.0,326.270957246474,571500.0
1036,517200.0,349.706982929243,595850.0,359.891435464415,583500.0
1037,563000.0,374.095546673781,625000.0,375.0,595000.0
1038,602900.0,375.949646928211,632250.0,386.381025248661,723000.0
1043,511800.0,318.203088441741,515000.0,326.803368729403,562500.0
1044,555900.0,333.727767020172,573000.0,345.424107142857,598000.0
1045,599300.0,390.854972666106,775000.0,397.147147147147,675000.0
1046,628500.0,398.732065398732,589000.0,364.240356622999,692000.0
1047,665100.0,437.091503267974,650000.0,415.0390625,700000.0
1048,670000.0,430.748840291584,598500.0,436.882598784195,790000.0
1053,347700.0,203.127538586515,499000.0,254.992319508449,402500.0
1054,383400.0,219.16752886777,477000.0,231.50912106136,375000.0
1055,381100.0,223.341780891119,539000.0,256.214700810906,463500.0
1056,437200.0,255.09933106447,502500.0,303.144525944037,405000.0
1057,456000.0,253.782198306281,452950.0,291.252305291531,446000.0
1058,485000.0,256.410256410256,475000.0,310.847659442898,559500.0
1063,591800.0,333.415890751086,575000.0,342.94621979735,605000.0
1064,625300.0,353.492333901192,599000.0,365.225854458599,640000.0
1065,654400.0,373.879641485275,629950.0,386.392914653784,669500.0
1066,679400.0,399.943867527365,675000.0,407.455268389662,684000.0
1067,709800.0,409.796503784066,699000.0,419.407894736842,720000.0
1068,725100.0,415.944540727903,749000.0,431.439374682257,800000.0
1073,386200.0,195.148927416985,389000.0,202.099533437014,390000.0
1074,407400.0,205.248257839721,416000.0,215.909090909091,425000.0
1075,442300.0,219.358058090127,431616.0,235.457063711911,455000.0
1076,468400.0,239.906818553289,459500.0,259.493626317911,485750.0
